citizen,agedef,age,unit,sex,geo\time	2016 	2015 	2014 	2013 
CC5_15_FOR,COMPLET,Y65-69,NR,F,RO	4 	2 e	7 	2 
CC5_15_FOR,COMPLET,Y65-69,NR,F,SE	4 	4 	0 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,F,SI	8 	5 	9 	8 
CC5_15_FOR,COMPLET,Y65-69,NR,F,UK	27 	: 	38 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,M,AT	53 	44 	38 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,M,BE	5 	7 	4 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,M,BG	113 	77 	59 p	: 
CC5_15_FOR,COMPLET,Y65-69,NR,M,EL	11 b	8 	9 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,M,ES	10 	4 	5 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,M,FI	1 	0 	0 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,M,HR	9 	7 	6.0 	10.0 
CC5_15_FOR,COMPLET,Y65-69,NR,M,IE	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,M,IS	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,M,IT	225 	167 	178 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,M,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,M,LU	2 	: 	: 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,M,MT	2 	2 	0 	1 
CC5_15_FOR,COMPLET,Y65-69,NR,M,NO	0 	1 	0 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,M,PL	14 ep	12 p	8 p	: 
CC5_15_FOR,COMPLET,Y65-69,NR,M,RO	7 	3 e	8 	12 
CC5_15_FOR,COMPLET,Y65-69,NR,M,SE	3 	5 	0 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,M,SI	5 	3 	5 	1 
CC5_15_FOR,COMPLET,Y65-69,NR,M,UK	54 	: 	1 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,T,AT	114 	100 	113 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,T,BE	7 	14 	11 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,T,BG	190 	116 	101 p	: 
CC5_15_FOR,COMPLET,Y65-69,NR,T,EL	35 b	27 	27 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,T,ES	19 	12 	14 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,T,FI	1 	1 	0 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,T,HR	21 	17 	17.0 	20.0 
CC5_15_FOR,COMPLET,Y65-69,NR,T,IE	1 	0 	1 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,T,IS	0 	3 	0 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,T,IT	500 	388 	345 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,T,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,T,LU	3 	: 	: 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,T,MT	5 	3 	1 	2 
CC5_15_FOR,COMPLET,Y65-69,NR,T,NO	2 	3 	0 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,T,PL	16 ep	18 p	12 p	: 
CC5_15_FOR,COMPLET,Y65-69,NR,T,RO	11 	5 e	15 	14 
CC5_15_FOR,COMPLET,Y65-69,NR,T,SE	7 	9 	0 	: 
CC5_15_FOR,COMPLET,Y65-69,NR,T,SI	13 	8 	14 	9 
CC5_15_FOR,COMPLET,Y65-69,NR,T,UK	81 	: 	39 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,F,AT	32 	48 	41 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,F,BE	4 	1 	1 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,F,BG	38 	23 	15 p	: 
CC5_15_FOR,COMPLET,Y70-74,NR,F,EL	36 b	32 	31 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,F,ES	2 	7 	4 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,F,FI	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,F,HR	4 	2 	7.0 	7.0 
CC5_15_FOR,COMPLET,Y70-74,NR,F,IE	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,F,IS	1 	0 	0 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,F,IT	139 	142 	117 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,F,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,F,LU	1 	: 	: 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,F,MT	1 	0 	0 	0 
CC5_15_FOR,COMPLET,Y70-74,NR,F,NO	1 	0 	0 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,F,PL	0 ep	0 p	4 p	: 
CC5_15_FOR,COMPLET,Y70-74,NR,F,RO	2 	1 e	4 	4 
CC5_15_FOR,COMPLET,Y70-74,NR,F,SE	2 	1 	3 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,F,SI	3 	3 	4 	5 
CC5_15_FOR,COMPLET,Y70-74,NR,F,UK	14 	: 	28 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,M,AT	17 	28 	23 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,M,BE	2 	3 	0 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,M,BG	59 	39 	27 p	: 
CC5_15_FOR,COMPLET,Y70-74,NR,M,EL	12 b	11 	10 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,M,ES	3 	2 	5 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,M,FI	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,M,HR	2 	3 	7.0 	5.0 
CC5_15_FOR,COMPLET,Y70-74,NR,M,IE	0 	0 	2 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,M,IS	0 	1 	0 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,M,IT	157 	115 	100 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,M,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,M,LU	0 	: 	: 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,M,MT	2 	0 	0 	1 
CC5_15_FOR,COMPLET,Y70-74,NR,M,NO	0 	0 	1 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,M,PL	0 ep	4 p	0 p	: 
CC5_15_FOR,COMPLET,Y70-74,NR,M,RO	4 	1 e	5 	3 
CC5_15_FOR,COMPLET,Y70-74,NR,M,SE	1 	1 	1 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,M,SI	3 	3 	3 	4 
CC5_15_FOR,COMPLET,Y70-74,NR,M,UK	29 	: 	0 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,T,AT	49 	76 	64 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,T,BE	6 	4 	1 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,T,BG	97 	62 	42 p	: 
CC5_15_FOR,COMPLET,Y70-74,NR,T,EL	48 b	43 	41 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,T,ES	5 	9 	9 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,T,FI	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,T,HR	6 	5 	14.0 	12.0 
CC5_15_FOR,COMPLET,Y70-74,NR,T,IE	0 	0 	2 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,T,IS	1 	1 	0 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,T,IT	296 	257 	217 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,T,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,T,LU	1 	: 	: 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,T,MT	3 	0 	0 	1 
CC5_15_FOR,COMPLET,Y70-74,NR,T,NO	1 	0 	1 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,T,PL	0 ep	4 p	4 p	: 
CC5_15_FOR,COMPLET,Y70-74,NR,T,RO	6 	2 e	9 	7 
CC5_15_FOR,COMPLET,Y70-74,NR,T,SE	3 	2 	4 	: 
CC5_15_FOR,COMPLET,Y70-74,NR,T,SI	6 	6 	7 	9 
CC5_15_FOR,COMPLET,Y70-74,NR,T,UK	43 	: 	28 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,F,AT	27 	30 	27 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,F,BE	1 	1 	2 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,F,BG	17 	7 	10 p	: 
CC5_15_FOR,COMPLET,Y75-79,NR,F,EL	21 b	19 	19 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,F,ES	3 	1 	3 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,F,FI	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,F,HR	6 	9 	5.0 	2.0 
CC5_15_FOR,COMPLET,Y75-79,NR,F,IE	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,F,IS	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,F,IT	111 	78 	85 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,F,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,F,LU	1 	: 	: 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,F,MT	0 	0 	0 	0 
CC5_15_FOR,COMPLET,Y75-79,NR,F,NO	2 	0 	1 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,F,PL	0 ep	0 p	0 p	: 
CC5_15_FOR,COMPLET,Y75-79,NR,F,RO	0 	1 e	0 	2 
CC5_15_FOR,COMPLET,Y75-79,NR,F,SE	0 	0 	1 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,F,SI	2 	3 	7 	3 
CC5_15_FOR,COMPLET,Y75-79,NR,F,UK	1 	: 	18 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,M,AT	12 	17 	17 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,M,BE	0 	5 	0 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,M,BG	25 	30 	12 p	: 
CC5_15_FOR,COMPLET,Y75-79,NR,M,EL	10 b	9 	8 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,M,ES	4 	3 	1 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,M,FI	0 	0 	1 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,M,HR	1 	3 	1.0 	3.0 
CC5_15_FOR,COMPLET,Y75-79,NR,M,IE	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,M,IS	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,M,IT	68 	74 	58 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,M,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,M,LU	1 	: 	: 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,M,MT	0 	0 	0 	0 
CC5_15_FOR,COMPLET,Y75-79,NR,M,NO	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,M,PL	0 ep	0 p	0 p	: 
CC5_15_FOR,COMPLET,Y75-79,NR,M,RO	0 	1 e	0 	0 
CC5_15_FOR,COMPLET,Y75-79,NR,M,SE	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,M,SI	2 	2 	0 	0 
CC5_15_FOR,COMPLET,Y75-79,NR,M,UK	6 	: 	0 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,T,AT	39 	47 	44 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,T,BE	1 	6 	2 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,T,BG	42 	37 	22 p	: 
CC5_15_FOR,COMPLET,Y75-79,NR,T,EL	31 b	28 	27 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,T,ES	7 	4 	4 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,T,FI	0 	0 	1 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,T,HR	7 	12 	6.0 	5.0 
CC5_15_FOR,COMPLET,Y75-79,NR,T,IE	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,T,IS	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,T,IT	179 	152 	143 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,T,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,T,LU	2 	: 	: 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,T,MT	0 	0 	0 	0 
CC5_15_FOR,COMPLET,Y75-79,NR,T,NO	2 	0 	1 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,T,PL	0 ep	0 p	0 p	: 
CC5_15_FOR,COMPLET,Y75-79,NR,T,RO	0 	2 e	0 	2 
CC5_15_FOR,COMPLET,Y75-79,NR,T,SE	0 	0 	1 	: 
CC5_15_FOR,COMPLET,Y75-79,NR,T,SI	4 	5 	7 	3 
CC5_15_FOR,COMPLET,Y75-79,NR,T,UK	7 	: 	18 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,F,AT	23 	24 	17 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,F,BE	2 	4 	1 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,F,BG	16 	3 	2 p	: 
CC5_15_FOR,COMPLET,Y80-84,NR,F,EL	15 b	14 	13 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,F,ES	2 	0 	1 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,F,FI	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,F,HR	2 	4 	10.0 	7.0 
CC5_15_FOR,COMPLET,Y80-84,NR,F,IE	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,F,IS	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,F,IT	39 	26 	25 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,F,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,F,LU	1 	: 	: 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,F,MT	0 	0 	1 	0 
CC5_15_FOR,COMPLET,Y80-84,NR,F,NO	1 	1 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,F,PL	0 ep	0 p	0 p	: 
CC5_15_FOR,COMPLET,Y80-84,NR,F,RO	1 	0 e	0 	4 
CC5_15_FOR,COMPLET,Y80-84,NR,F,SE	1 	1 	2 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,F,SI	3 	1 	1 	1 
CC5_15_FOR,COMPLET,Y80-84,NR,F,UK	0 	: 	10 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,M,AT	10 	11 	11 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,M,BE	2 	0 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,M,BG	19 	3 	10 p	: 
CC5_15_FOR,COMPLET,Y80-84,NR,M,EL	7 b	7 	7 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,M,ES	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,M,FI	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,M,HR	1 	3 	1.0 	1.0 
CC5_15_FOR,COMPLET,Y80-84,NR,M,IE	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,M,IS	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,M,IT	32 	29 	32 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,M,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,M,LU	0 	: 	: 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,M,MT	0 	0 	0 	0 
CC5_15_FOR,COMPLET,Y80-84,NR,M,NO	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,M,PL	3 ep	0 p	0 p	: 
CC5_15_FOR,COMPLET,Y80-84,NR,M,RO	2 	3 e	0 	0 
CC5_15_FOR,COMPLET,Y80-84,NR,M,SE	0 	2 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,M,SI	0 	0 	4 	1 
CC5_15_FOR,COMPLET,Y80-84,NR,M,UK	0 	: 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,T,AT	33 	35 	28 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,T,BE	4 	4 	1 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,T,BG	35 	6 	12 p	: 
CC5_15_FOR,COMPLET,Y80-84,NR,T,EL	22 b	21 	20 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,T,ES	2 	0 	1 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,T,FI	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,T,HR	3 	7 	11.0 	8.0 
CC5_15_FOR,COMPLET,Y80-84,NR,T,IE	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,T,IS	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,T,IT	71 	55 	57 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,T,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,T,LU	1 	: 	: 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,T,MT	0 	0 	1 	0 
CC5_15_FOR,COMPLET,Y80-84,NR,T,NO	1 	1 	0 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,T,PL	3 ep	0 p	0 p	: 
CC5_15_FOR,COMPLET,Y80-84,NR,T,RO	3 	3 e	0 	4 
CC5_15_FOR,COMPLET,Y80-84,NR,T,SE	1 	3 	2 	: 
CC5_15_FOR,COMPLET,Y80-84,NR,T,SI	3 	1 	5 	2 
CC5_15_FOR,COMPLET,Y80-84,NR,T,UK	0 	: 	10 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,F,AT	7 	5 	7 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,F,BE	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,F,BG	1 	1 	1 p	: 
CC5_15_FOR,COMPLET,Y85-89,NR,F,EL	8 	8 	7 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,F,ES	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,F,FI	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,F,HR	3 	3 	6.0 	2.0 
CC5_15_FOR,COMPLET,Y85-89,NR,F,IE	0 	0 	1 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,F,IS	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,F,IT	20 	11 	13 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,F,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,F,LU	0 	: 	: 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,F,MT	0 	0 	0 	0 
CC5_15_FOR,COMPLET,Y85-89,NR,F,NO	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,F,PL	0 ep	0 p	0 p	: 
CC5_15_FOR,COMPLET,Y85-89,NR,F,RO	0 	0 e	0 	1 
CC5_15_FOR,COMPLET,Y85-89,NR,F,SE	0 	1 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,F,SI	0 	3 	1 	1 
CC5_15_FOR,COMPLET,Y85-89,NR,F,UK	0 	: 	3 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,M,AT	1 	1 	3 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,M,BE	0 	0 	1 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,M,BG	1 	3 	0 p	: 
CC5_15_FOR,COMPLET,Y85-89,NR,M,EL	8 	8 	8 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,M,ES	0 	1 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,M,FI	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,M,HR	1 	0 	3.0 	2.0 
CC5_15_FOR,COMPLET,Y85-89,NR,M,IE	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,M,IS	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,M,IT	13 	4 	4 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,M,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,M,LU	0 	: 	: 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,M,MT	0 	0 	0 	0 
CC5_15_FOR,COMPLET,Y85-89,NR,M,NO	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,M,PL	0 ep	0 p	0 p	: 
CC5_15_FOR,COMPLET,Y85-89,NR,M,RO	0 	0 e	0 	0 
CC5_15_FOR,COMPLET,Y85-89,NR,M,SE	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,M,SI	0 	1 	0 	0 
CC5_15_FOR,COMPLET,Y85-89,NR,M,UK	0 	: 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,T,AT	8 	6 	10 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,T,BE	0 	0 	1 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,T,BG	2 	4 	1 p	: 
CC5_15_FOR,COMPLET,Y85-89,NR,T,EL	16 	16 	15 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,T,ES	0 	1 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,T,FI	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,T,HR	4 	3 	9.0 	4.0 
CC5_15_FOR,COMPLET,Y85-89,NR,T,IE	0 	0 	1 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,T,IS	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,T,IT	33 	15 	17 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,T,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,T,LU	0 	: 	: 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,T,MT	0 	0 	0 	0 
CC5_15_FOR,COMPLET,Y85-89,NR,T,NO	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,T,PL	0 ep	0 p	0 p	: 
CC5_15_FOR,COMPLET,Y85-89,NR,T,RO	0 	0 e	0 	1 
CC5_15_FOR,COMPLET,Y85-89,NR,T,SE	0 	1 	0 	: 
CC5_15_FOR,COMPLET,Y85-89,NR,T,SI	0 	4 	1 	1 
CC5_15_FOR,COMPLET,Y85-89,NR,T,UK	0 	: 	3 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,F,AT	3 	3 	2 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,F,BE	0 	0 	1 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,F,BG	0 	0 	0 p	: 
CC5_15_FOR,COMPLET,Y90-94,NR,F,EL	3 	3 	3 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,F,ES	0 	2 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,F,FI	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,F,HR	0 	0 	1.0 	0.0 
CC5_15_FOR,COMPLET,Y90-94,NR,F,IE	1 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,F,IS	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,F,IT	5 	0 	4 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,F,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,F,LU	0 	: 	: 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,F,MT	0 	0 	0 	0 
CC5_15_FOR,COMPLET,Y90-94,NR,F,NO	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,F,PL	0 ep	0 p	0 p	: 
CC5_15_FOR,COMPLET,Y90-94,NR,F,RO	0 	0 e	0 	0 
CC5_15_FOR,COMPLET,Y90-94,NR,F,SE	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,F,SI	0 	1 	0 	2 
CC5_15_FOR,COMPLET,Y90-94,NR,F,UK	0 	: 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,M,AT	1 	0 	1 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,M,BE	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,M,BG	0 	0 	1 p	: 
CC5_15_FOR,COMPLET,Y90-94,NR,M,EL	2 	2 	2 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,M,ES	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,M,FI	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,M,HR	1 	0 	0.0 	0.0 
CC5_15_FOR,COMPLET,Y90-94,NR,M,IE	0 	0 	1 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,M,IS	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,M,IT	2 	0 	3 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,M,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,M,LU	0 	: 	: 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,M,MT	0 	0 	0 	0 
CC5_15_FOR,COMPLET,Y90-94,NR,M,NO	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,M,PL	0 ep	0 p	0 p	: 
CC5_15_FOR,COMPLET,Y90-94,NR,M,RO	0 	0 e	0 	0 
CC5_15_FOR,COMPLET,Y90-94,NR,M,SE	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,M,SI	0 	0 	0 	0 
CC5_15_FOR,COMPLET,Y90-94,NR,M,UK	0 	: 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,T,AT	4 	3 	3 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,T,BE	0 	0 	1 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,T,BG	0 	0 	1 p	: 
CC5_15_FOR,COMPLET,Y90-94,NR,T,EL	5 	5 	5 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,T,ES	0 	2 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,T,FI	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,T,HR	1 	0 	1.0 	0.0 
CC5_15_FOR,COMPLET,Y90-94,NR,T,IE	1 	0 	1 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,T,IS	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,T,IT	7 	0 	7 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,T,LT	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,T,LU	0 	: 	: 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,T,MT	0 	0 	0 	0 
CC5_15_FOR,COMPLET,Y90-94,NR,T,NO	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,T,PL	0 ep	0 p	0 p	: 
CC5_15_FOR,COMPLET,Y90-94,NR,T,RO	0 	0 e	0 	0 
CC5_15_FOR,COMPLET,Y90-94,NR,T,SE	0 	0 	0 	: 
CC5_15_FOR,COMPLET,Y90-94,NR,T,SI	0 	1 	0 	2 
CC5_15_FOR,COMPLET,Y90-94,NR,T,UK	0 	: 	0 	: 
CC5_15_FOR,COMPLET,Y95-99,NR,F,AT	0 	0 	1 	: 
