age,c_birth,unit,sex,geo\time	2017 	2016 	2015 	2014 
TOTAL,CC5_13_FOR_X_IS,NR,T,HR	: 	: 	: 	66223 
TOTAL,CC5_13_FOR_X_IS,NR,T,HU	: 	44013 	42114 	39836 
TOTAL,CC5_13_FOR_X_IS,NR,T,IE	: 	: 	: 	2203 
TOTAL,CC5_13_FOR_X_IS,NR,T,IS	492 	442 	428 	430 
TOTAL,CC5_13_FOR_X_IS,NR,T,IT	136763 	137764 	: 	139032 
TOTAL,CC5_13_FOR_X_IS,NR,T,LI	850 	844 	841 	847 
TOTAL,CC5_13_FOR_X_IS,NR,T,LT	52 	11 	70 	75 
TOTAL,CC5_13_FOR_X_IS,NR,T,LU	4991 	: 	: 	5055 
TOTAL,CC5_13_FOR_X_IS,NR,T,LV	151 	134 	130 	113 
TOTAL,CC5_13_FOR_X_IS,NR,T,NL	191345 	191444 	193012 	195368 
TOTAL,CC5_13_FOR_X_IS,NR,T,NO	20032 	18509 	: 	17436 
TOTAL,CC5_13_FOR_X_IS,NR,T,PL	: 	: 	: 	2519 p
TOTAL,CC5_13_FOR_X_IS,NR,T,PT	: 	: 	: 	786 
TOTAL,CC5_13_FOR_X_IS,NR,T,RO	10491 	8709 	: 	6953 e
TOTAL,CC5_13_FOR_X_IS,NR,T,SE	66241 	63927 	: 	60230 
TOTAL,CC5_13_FOR_X_IS,NR,T,SI	44622 	43217 	45669 	44981 
TOTAL,CC5_13_FOR_X_IS,NR,T,SK	3395 	3227 	3038 	2909 
TOTAL,CC5_15_FOR,NR,F,AT	163724 	161890 	159908 	158111 
TOTAL,CC5_15_FOR,NR,F,BE	53681 	53194 	52803 	52550 
TOTAL,CC5_15_FOR,NR,F,BG	6307 	5917 	5529 	5181 
TOTAL,CC5_15_FOR,NR,F,CH	104831 	102620 	100362 	98512 
TOTAL,CC5_15_FOR,NR,F,CY	420 	385 	342 	: 
TOTAL,CC5_15_FOR,NR,F,CZ	1996 	1616 	1535 	1420 
TOTAL,CC5_15_FOR,NR,F,DE	: 	860776 	832423 	: 
TOTAL,CC5_15_FOR,NR,F,DK	18116 	17908 	17711 	17556 
TOTAL,CC5_15_FOR,NR,F,EE	90 	74 	49 b	40 
TOTAL,CC5_15_FOR,NR,F,EL	206971 	213606 	225848 	: 
TOTAL,CC5_15_FOR,NR,F,ES	6076 	5534 	5118 	4808 
TOTAL,CC5_15_FOR,NR,F,FI	2399 	2239 	2111 	1952 
TOTAL,CC5_15_FOR,NR,F,FR	181503 p	173183 p	176794 p	: 
TOTAL,CC5_15_FOR,NR,F,HR	35263 	35769 	36549 	: 
TOTAL,CC5_15_FOR,NR,F,HU	19900 	19727 	19152 	18317 
TOTAL,CC5_15_FOR,NR,F,IE	895 	653 	597 	: 
TOTAL,CC5_15_FOR,NR,F,IS	282 	239 	235 	233 
TOTAL,CC5_15_FOR,NR,F,IT	291424 e	286193 	282995 	277914 
TOTAL,CC5_15_FOR,NR,F,LI	427 	419 	416 	420 
TOTAL,CC5_15_FOR,NR,F,LT	23 	9 	19 	24 
TOTAL,CC5_15_FOR,NR,F,LU	2936 b	2660 	2556 	: 
TOTAL,CC5_15_FOR,NR,F,LV	33 	29 	35 	25 
TOTAL,CC5_15_FOR,NR,F,MT	1393 	943 	484 	251 
TOTAL,CC5_15_FOR,NR,F,NL	94681 	94352 	94766 	95594 
TOTAL,CC5_15_FOR,NR,F,NO	9910 	9051 	8662 	8293 
TOTAL,CC5_15_FOR,NR,F,PL	936 ep	788 p	736 p	: 
TOTAL,CC5_15_FOR,NR,F,PT	645 	1288 	942 	: 
TOTAL,CC5_15_FOR,NR,F,RO	3126 	2444 	1862 	1800 e
TOTAL,CC5_15_FOR,NR,F,SE	31822 	30389 	29288 	: 
TOTAL,CC5_15_FOR,NR,F,SI	18728 	18250 	18900 	18643 
TOTAL,CC5_15_FOR,NR,F,SK	1119 	1069 	1000 	983 
TOTAL,CC5_15_FOR,NR,F,UK	61845 	45505 	47455 	45864 
TOTAL,CC5_15_FOR,NR,M,AT	166589 	165032 	163119 	161591 
TOTAL,CC5_15_FOR,NR,M,BE	57183 	56723 	56475 	56374 
TOTAL,CC5_15_FOR,NR,M,BG	10770 	10326 	9972 	9602 
TOTAL,CC5_15_FOR,NR,M,CH	110047 	107712 	105702 	104103 
TOTAL,CC5_15_FOR,NR,M,CY	391 	370 	329 	: 
TOTAL,CC5_15_FOR,NR,M,CZ	4937 	4229 	3941 	3666 
TOTAL,CC5_15_FOR,NR,M,DE	: 	882754 	850697 	: 
TOTAL,CC5_15_FOR,NR,M,DK	19724 	19467 	19225 	19020 
TOTAL,CC5_15_FOR,NR,M,EE	306 	256 	207 b	143 
TOTAL,CC5_15_FOR,NR,M,EL	204831 	212400 	227224 	: 
TOTAL,CC5_15_FOR,NR,M,ES	7221 	6671 	6218 	5988 
TOTAL,CC5_15_FOR,NR,M,FI	5308 	5073 	4885 	4672 
TOTAL,CC5_15_FOR,NR,M,FR	195364 p	187209 p	191033 p	: 
TOTAL,CC5_15_FOR,NR,M,HR	27611 	28009 	28878 	: 
TOTAL,CC5_15_FOR,NR,M,HU	25202 	24557 	23205 	21738 
TOTAL,CC5_15_FOR,NR,M,IE	1283 	735 	780 	: 
TOTAL,CC5_15_FOR,NR,M,IS	310 	261 	238 	237 
TOTAL,CC5_15_FOR,NR,M,IT	303581 e	301234 	301624 	301238 
TOTAL,CC5_15_FOR,NR,M,LI	424 	426 	425 	427 
TOTAL,CC5_15_FOR,NR,M,LT	30 	2 	55 	51 
TOTAL,CC5_15_FOR,NR,M,LU	2983 b	2852 	2721 	: 
TOTAL,CC5_15_FOR,NR,M,LV	129 	114 	104 	96 
TOTAL,CC5_15_FOR,NR,M,MT	1870 	1359 	749 	380 
TOTAL,CC5_15_FOR,NR,M,NL	98448 	98628 	99583 	100940 
TOTAL,CC5_15_FOR,NR,M,NO	11607 	10677 	10375 	9890 
TOTAL,CC5_15_FOR,NR,M,PL	2722 ep	1995 p	1779 p	: 
TOTAL,CC5_15_FOR,NR,M,PT	507 	460 	439 	: 
TOTAL,CC5_15_FOR,NR,M,RO	7936 	6620 	5496 	5280 e
TOTAL,CC5_15_FOR,NR,M,SE	37638 	36107 	34976 	: 
TOTAL,CC5_15_FOR,NR,M,SI	26021 	25093 	26917 	26483 
TOTAL,CC5_15_FOR,NR,M,SK	2391 	2260 	2137 	2018 
TOTAL,CC5_15_FOR,NR,M,UK	64197 	66452 	61123 	43982 
TOTAL,CC5_15_FOR,NR,T,AT	330313 	326922 	323027 	319702 
TOTAL,CC5_15_FOR,NR,T,BE	110864 	109917 	109278 	108924 
TOTAL,CC5_15_FOR,NR,T,BG	17077 	16243 	15501 	14783 
TOTAL,CC5_15_FOR,NR,T,CH	214878 	210332 	206064 	202615 
TOTAL,CC5_15_FOR,NR,T,CY	811 	755 	671 	: 
TOTAL,CC5_15_FOR,NR,T,CZ	6933 	5845 	5476 	5086 
TOTAL,CC5_15_FOR,NR,T,DE	: 	1743530 	1683120 	: 
TOTAL,CC5_15_FOR,NR,T,DK	37840 	37375 	36936 	36576 
TOTAL,CC5_15_FOR,NR,T,EE	396 	330 	256 b	183 
TOTAL,CC5_15_FOR,NR,T,EL	411802 	426006 	453072 	: 
TOTAL,CC5_15_FOR,NR,T,ES	13297 	12205 	11336 	10796 
TOTAL,CC5_15_FOR,NR,T,FI	7707 	7312 	6996 	6624 
TOTAL,CC5_15_FOR,NR,T,FR	376867 p	360392 p	367827 p	: 
TOTAL,CC5_15_FOR,NR,T,HR	62874 	63778 	65427 	: 
TOTAL,CC5_15_FOR,NR,T,HU	45102 	44284 	42357 	40055 
TOTAL,CC5_15_FOR,NR,T,IE	2178 	1388 	1377 	: 
TOTAL,CC5_15_FOR,NR,T,IS	592 	500 	473 	470 
TOTAL,CC5_15_FOR,NR,T,IT	595005 e	587427 	584619 	579152 
TOTAL,CC5_15_FOR,NR,T,LI	851 	845 	841 	847 
TOTAL,CC5_15_FOR,NR,T,LT	53 	11 	74 	75 
TOTAL,CC5_15_FOR,NR,T,LU	5919 b	5512 	5277 	: 
TOTAL,CC5_15_FOR,NR,T,LV	162 	143 	139 	121 
TOTAL,CC5_15_FOR,NR,T,MT	3263 	2302 	1233 	631 
TOTAL,CC5_15_FOR,NR,T,NL	193129 	192980 	194349 	196534 
TOTAL,CC5_15_FOR,NR,T,NO	21517 	19728 	19037 	18183 
TOTAL,CC5_15_FOR,NR,T,PL	3658 ep	2783 p	2515 p	: 
TOTAL,CC5_15_FOR,NR,T,PT	1152 	1748 	1381 	: 
TOTAL,CC5_15_FOR,NR,T,RO	11062 	9064 	7358 	7080 e
TOTAL,CC5_15_FOR,NR,T,SE	69460 	66496 	64264 	: 
TOTAL,CC5_15_FOR,NR,T,SI	44749 	43343 	45817 	45126 
TOTAL,CC5_15_FOR,NR,T,SK	3510 	3329 	3137 	3001 
TOTAL,CC5_15_FOR,NR,T,UK	126042 	111957 	108578 	89846 
TOTAL,EFTA_FOR,NR,F,AT	8828 	8740 	8585 	8442 
TOTAL,EFTA_FOR,NR,F,BE	3522 	3544 	3523 	3513 
TOTAL,EFTA_FOR,NR,F,BG	403 	364 	300 	251 
TOTAL,EFTA_FOR,NR,F,CH	2766 	2788 	2791 	2810 
TOTAL,EFTA_FOR,NR,F,CY	260 	250 	245 	244 
TOTAL,EFTA_FOR,NR,F,CZ	251 	217 	200 	189 
TOTAL,EFTA_FOR,NR,F,DE	31997 	28326 	27576 	24822 
TOTAL,EFTA_FOR,NR,F,DK	18072 	17700 	17235 	16990 
TOTAL,EFTA_FOR,NR,F,EE	120 	100 	75 b	106 
TOTAL,EFTA_FOR,NR,F,EL	2876 	2850 	2815 	2796 
TOTAL,EFTA_FOR,NR,F,ES	40054 	40157 	40109 	40242 
TOTAL,EFTA_FOR,NR,F,FI	1283 	1252 	1249 	1227 
TOTAL,EFTA_FOR,NR,F,FR	55220 p	50117 p	54715 p	54162 
TOTAL,EFTA_FOR,NR,F,HR	1302 	1317 	1491 	1530 
TOTAL,EFTA_FOR,NR,F,HU	2377 	2186 	2009 	1840 
TOTAL,EFTA_FOR,NR,F,IE	1081 	1120 	1061 	1046 
TOTAL,EFTA_FOR,NR,F,IS	680 	653 	636 	605 
TOTAL,EFTA_FOR,NR,F,IT	104534 e	104787 	105353 	106066 
TOTAL,EFTA_FOR,NR,F,LI	6592 	6433 	6290 	6190 
TOTAL,EFTA_FOR,NR,F,LT	1080 	996 	727 	501 
TOTAL,EFTA_FOR,NR,F,LU	948 b	1083 	1039 	991 
TOTAL,EFTA_FOR,NR,F,LV	194 	153 	175 	144 
TOTAL,EFTA_FOR,NR,F,MT	209 	174 	134 	106 
TOTAL,EFTA_FOR,NR,F,NL	5879 	5724 	5627 	5537 
TOTAL,EFTA_FOR,NR,F,NO	5178 	5280 	5091 	4829 
TOTAL,EFTA_FOR,NR,F,PL	1760 ep	1351 p	1109 p	1050 p
TOTAL,EFTA_FOR,NR,F,PT	11542 	9002 	8778 	7788 
TOTAL,EFTA_FOR,NR,F,RO	554 	380 	187 	41 e
TOTAL,EFTA_FOR,NR,F,SE	27936 	27892 	27796 	27842 
TOTAL,EFTA_FOR,NR,F,SI	471 	477 	484 	495 
TOTAL,EFTA_FOR,NR,F,SK	890 	798 	725 	643 
TOTAL,EFTA_FOR,NR,F,UK	22252 	25828 	22530 	24118 
TOTAL,EFTA_FOR,NR,M,AT	7368 	7213 	7087 	7002 
TOTAL,EFTA_FOR,NR,M,BE	2998 	2967 	2927 	2909 
TOTAL,EFTA_FOR,NR,M,BG	488 	449 	376 	321 
TOTAL,EFTA_FOR,NR,M,CH	2120 	2102 	2085 	2085 
TOTAL,EFTA_FOR,NR,M,CY	206 	178 	161 	153 
TOTAL,EFTA_FOR,NR,M,CZ	578 	550 	517 	484 
TOTAL,EFTA_FOR,NR,M,DE	26563 	20842 	15982 	18113 
TOTAL,EFTA_FOR,NR,M,DK	13195 	12908 	12458 	12283 
TOTAL,EFTA_FOR,NR,M,EE	256 	232 	209 b	177 
TOTAL,EFTA_FOR,NR,M,EL	1780 	1767 	1754 	1749 
TOTAL,EFTA_FOR,NR,M,ES	39394 	39582 	39507 	39784 
TOTAL,EFTA_FOR,NR,M,FI	1682 	1645 	1596 	1551 
TOTAL,EFTA_FOR,NR,M,FR	47478 p	40946 p	45663 p	45140 
TOTAL,EFTA_FOR,NR,M,HR	1324 	1346 	1552 	1583 
TOTAL,EFTA_FOR,NR,M,HU	2349 	2192 	2014 	1872 
TOTAL,EFTA_FOR,NR,M,IE	999 	1011 	900 	873 
TOTAL,EFTA_FOR,NR,M,IS	617 	577 	559 	537 
TOTAL,EFTA_FOR,NR,M,IT	89645 e	90010 	90625 	91080 
TOTAL,EFTA_FOR,NR,M,LI	6878 	6709 	6599 	6439 
TOTAL,EFTA_FOR,NR,M,LT	1207 	1107 	806 	567 
TOTAL,EFTA_FOR,NR,M,LU	993 b	1045 	997 	956 
TOTAL,EFTA_FOR,NR,M,LV	310 	257 	236 	178 
TOTAL,EFTA_FOR,NR,M,MT	329 	275 	216 	156 
TOTAL,EFTA_FOR,NR,M,NL	4720 	4490 	4386 	4279 
TOTAL,EFTA_FOR,NR,M,NO	5422 	5620 	5499 	5237 
TOTAL,EFTA_FOR,NR,M,PL	1513 ep	1137 p	1099 p	1168 p
TOTAL,EFTA_FOR,NR,M,PT	10298 	11542 	7698 	6690 
TOTAL,EFTA_FOR,NR,M,RO	740 	507 	241 	57 e
TOTAL,EFTA_FOR,NR,M,SE	23691 	23413 	23257 	23215 
TOTAL,EFTA_FOR,NR,M,SI	510 	529 	531 	543 
TOTAL,EFTA_FOR,NR,M,SK	928 	848 	772 	700 
TOTAL,EFTA_FOR,NR,M,UK	12474 	16358 	15546 	17854 
TOTAL,EFTA_FOR,NR,T,AT	16196 	15953 	15672 	15444 
TOTAL,EFTA_FOR,NR,T,BE	6520 	6511 	6450 	6422 
TOTAL,EFTA_FOR,NR,T,BG	891 	813 	676 	572 
TOTAL,EFTA_FOR,NR,T,CH	4886 	4890 	4876 	4895 
TOTAL,EFTA_FOR,NR,T,CY	466 	428 	406 	397 
TOTAL,EFTA_FOR,NR,T,CZ	829 	767 	717 	673 
TOTAL,EFTA_FOR,NR,T,DE	58560 	49168 	43558 	42935 
TOTAL,EFTA_FOR,NR,T,DK	31267 	30608 	29693 	29273 
TOTAL,EFTA_FOR,NR,T,EE	376 	332 	284 b	283 
TOTAL,EFTA_FOR,NR,T,EL	4656 	4617 	4569 	4545 
TOTAL,EFTA_FOR,NR,T,ES	79448 	79739 	79616 	80026 
TOTAL,EFTA_FOR,NR,T,FI	2965 	2897 	2845 	2778 
TOTAL,EFTA_FOR,NR,T,FR	102698 p	91063 p	100378 p	99302 
TOTAL,EFTA_FOR,NR,T,HR	2626 	2663 	3043 	3113 
TOTAL,EFTA_FOR,NR,T,HU	4726 	4378 	4023 	3712 
TOTAL,EFTA_FOR,NR,T,IE	2080 	2131 	1961 	1919 
TOTAL,EFTA_FOR,NR,T,IS	1297 	1230 	1195 	1142 
TOTAL,EFTA_FOR,NR,T,IT	194179 e	194797 	195978 	197146 
TOTAL,EFTA_FOR,NR,T,LI	13470 	13142 	12889 	12629 
TOTAL,EFTA_FOR,NR,T,LT	2287 	2103 	1533 	1068 
TOTAL,EFTA_FOR,NR,T,LU	1941 b	2128 	2036 	1947 
TOTAL,EFTA_FOR,NR,T,LV	504 	410 	411 	322 
TOTAL,EFTA_FOR,NR,T,MT	538 	449 	350 	262 
TOTAL,EFTA_FOR,NR,T,NL	10599 	10214 	10013 	9816 
TOTAL,EFTA_FOR,NR,T,NO	10600 	10900 	10590 	10066 
TOTAL,EFTA_FOR,NR,T,PL	3273 ep	2488 p	2208 p	2218 p
TOTAL,EFTA_FOR,NR,T,PT	21840 	20544 	16476 	14478 
TOTAL,EFTA_FOR,NR,T,RO	1294 	887 	428 	98 e
TOTAL,EFTA_FOR,NR,T,SE	51627 	51305 	51053 	51057 
TOTAL,EFTA_FOR,NR,T,SI	981 	1006 	1015 	1038 
TOTAL,EFTA_FOR,NR,T,SK	1818 	1646 	1497 	1343 
TOTAL,EFTA_FOR,NR,T,UK	34726 	42186 	38076 	41972 
TOTAL,EU28_FOR,NR,F,AT	397949 	385735 	370179 	352026 
TOTAL,EU28_FOR,NR,F,BE	455622 	451521 	443258 	435460 
TOTAL,EU28_FOR,NR,F,BG	24915 	23148 	20967 	19318 
TOTAL,EU28_FOR,NR,F,CH	700559 	690948 	677528 	659063 
TOTAL,EU28_FOR,NR,F,CY	62392 	60627 	58375 	58962 
TOTAL,EU28_FOR,NR,F,CZ	71457 	67827 	64603 	61573 
TOTAL,EU28_FOR,NR,F,DE	2381526 	2151039 	2012537 	1936435 
TOTAL,EU28_FOR,NR,F,DK	108336 	103435 	97790 	93284 
TOTAL,EU28_FOR,NR,F,EE	8836 	8459 	8032 b	6211 
TOTAL,EU28_FOR,NR,F,EL	213762 	214778 	210564 	205249 
TOTAL,EU28_FOR,NR,F,ES	967776 	972007 	980545 	998344 
TOTAL,EU28_FOR,NR,F,FI	55956 	54735 	53104 	50279 
TOTAL,EU28_FOR,NR,F,FR	1173361 p	1159623 p	1155123 p	1146370 
TOTAL,EU28_FOR,NR,F,HR	37153 	37282 	38403 	38523 
TOTAL,EU28_FOR,NR,F,HU	163619 	163006 	158528 	154270 
TOTAL,EU28_FOR,NR,F,IE	302550 	297984 	294836 	289378 
TOTAL,EU28_FOR,NR,F,IS	14319 	13372 	12560 	11881 
TOTAL,EU28_FOR,NR,F,IT	1125977 e	1114961 	1105439 	1098697 
TOTAL,EU28_FOR,NR,F,LI	4398 	4394 	4352 	4311 
TOTAL,EU28_FOR,NR,F,LT	10271 	10515 	9849 	9152 
TOTAL,EU28_FOR,NR,F,LU	99366 b	95257 	91198 	87045 
TOTAL,EU28_FOR,NR,F,LV	15206 	15300 	15773 	15664 
TOTAL,EU28_FOR,NR,F,MT	15742 	13468 	11573 	10117 
TOTAL,EU28_FOR,NR,F,NL	308152 	295691 	284805 	273147 
TOTAL,EU28_FOR,NR,F,NO	150210 	148658 	143715 	134373 
TOTAL,EU28_FOR,NR,F,PL	118657 ep	117794 p	118460 p	121170 p
TOTAL,EU28_FOR,NR,F,PT	124397 	117597 	117685 	110847 
TOTAL,EU28_FOR,NR,F,RO	84428 	69802 	53889 	39019 e
TOTAL,EU28_FOR,NR,F,SE	280975 	276910 	272718 	268817 
TOTAL,EU28_FOR,NR,F,SI	33430 	33856 	34374 	34677 
TOTAL,EU28_FOR,NR,F,SK	75912 	74912 	74174 	73781 
TOTAL,EU28_FOR,NR,F,UK	1899164 	1727358 	1654111 	1510083 
TOTAL,EU28_FOR,NR,M,AT	341650 	328314 	311379 	290794 
TOTAL,EU28_FOR,NR,M,BE	420875 	415300 	406314 	397485 
TOTAL,EU28_FOR,NR,M,BG	27312 	25385 	22952 	21176 
TOTAL,EU28_FOR,NR,M,CH	713625 	702653 	686722 	662828 
TOTAL,EU28_FOR,NR,M,CY	51381 	49806 	48997 	52370 
TOTAL,EU28_FOR,NR,M,CZ	109962 	103992 	98870 	93495 
TOTAL,EU28_FOR,NR,M,DE	2468376 	2200776 	1997823 	1899650 
TOTAL,EU28_FOR,NR,M,DK	120064 	113457 	105059 	98354 
TOTAL,EU28_FOR,NR,M,EE	11311 	10719 	10112 b	6920 
TOTAL,EU28_FOR,NR,M,EL	131857 	135351 	135092 	133973 
TOTAL,EU28_FOR,NR,M,ES	975677 	984458 	1000671 	1029188 
TOTAL,EU28_FOR,NR,M,FI	66249 	64091 	61718 	58678 
TOTAL,EU28_FOR,NR,M,FR	1047306 p	1043174 p	1034871 p	1024878 
TOTAL,EU28_FOR,NR,M,HR	31212 	31289 	32082 	31942 
TOTAL,EU28_FOR,NR,M,HU	158288 	157515 	151068 	145812 
TOTAL,EU28_FOR,NR,M,IE	298002 	293504 	289909 	287256 
TOTAL,EU28_FOR,NR,M,IS	17036 	14766 	13425 	12378 
TOTAL,EU28_FOR,NR,M,IT	711653 e	708872 	710106 	716669 
TOTAL,EU28_FOR,NR,M,LI	3862 	3844 	3762 	3746 
TOTAL,EU28_FOR,NR,M,LT	10265 	10324 	9387 	8490 
TOTAL,EU28_FOR,NR,M,LU	105881 b	99534 	94767 	90547 
TOTAL,EU28_FOR,NR,M,LV	12430 	12306 	12529 	12247 
TOTAL,EU28_FOR,NR,M,MT	17923 	14999 	12445 	10546 
TOTAL,EU28_FOR,NR,M,NL	272447 	259219 	247477 	235301 
TOTAL,EU28_FOR,NR,M,NO	200954 	201050 	195420 	183711 
TOTAL,EU28_FOR,NR,M,PL	102217 ep	98546 p	100535 p	100850 p
TOTAL,EU28_FOR,NR,M,PT	115799 	114445 	110031 	110709 
TOTAL,EU28_FOR,NR,M,RO	95671 	78643 	58461 	42508 e
TOTAL,EU28_FOR,NR,M,SE	259428 	252931 	246497 	240784 
TOTAL,EU28_FOR,NR,M,SI	32957 	33146 	33717 	34110 
TOTAL,EU28_FOR,NR,M,SK	77751 	75611 	73749 	72493 
TOTAL,EU28_FOR,NR,M,UK	1713735 	1523276 	1436731 	1297052 
TOTAL,EU28_FOR,NR,T,AT	739599 	714049 	681558 	642820 
TOTAL,EU28_FOR,NR,T,BE	876497 	866821 	849572 	832945 
TOTAL,EU28_FOR,NR,T,BG	52227 	48533 	43919 	40494 
